имя,подтема_1,подтема_2,подтема_3,подтема_4,подтема_5
Анализ информационных моделей,Неоднозначное соотнесение таблицы и графа,Однозначное соотнесение таблицы и графа,,,
Построение таблиц истинности логических выражений,Строки с пропущенными значениями,,,,
Поиск информации в реляционных базах данных,Задания для подготовки,,,,
Кодирование и декодирование информации,Выбор кода при неиспользуемых сигналах,Передача информации. Выбор кода,,,
Анализ и построение алгоритмов для исполнителей,Посимвольное двоичное преобразование,Посимвольное десятичное преобразование,,,
Определение результатов работы простейших алгоритмов,Задания для подготовки,,,,
Кодирование и декодирование информации. Передача информации,Передача звуковых файлов,Хранение звуковых файлов,Хранение изображений,,
Перебор слов и системы счисления,Подсчет количества разных последовательностей,Подсчет количества слов с ограничениями,Слова по порядку,,
Работа с таблицами,Задания для подготовки,,,,
Поиск символов в текстовом редакторе,Задания для подготовки,,,,
Вычисление количества информации,Пароли с дополнительными сведениями,Пароли,,,
Выполнение алгоритмов для исполнителей,Исполнитель Редактор,,,,
Организация компьютерных сетей. Адресация,Восстановить ip-адрес,Подсчет количества адресов в сети,Восстановить url,Определение адреса сети,Определение маски
Кодирование чисел. Системы счисления,Операции в разных СС с двумя переменными,Операции в разных СС с одной переменной,Операции в одной СС,Прямое сложение в СС,
Преобразование логических выражений,Побитовая конъюнкция,Числовые отрезки,Координатная плоскость,Разное,
Рекурсивные алгоритмы,Рекурсивные функции с возвращаемыми значениями,Алгоритмы. опирающиеся на несколько предыдущих значений,Алгоритмы. опирающиеся на одно предыдущее значение,,
Обработки числовой последовательности,Задания для подготовки,,,,
Робот-сборщик монет,Задания для подготовки,,,,
Выигрышная стратегия. Задание 1,Одна куча,Две кучи,,,
Выигрышная стратегия. Задание 2,Одна куча,Две кучи,,,
Выигрышная стратегия. Задание 3,Одна куча,Две кучи,,,
Многопроцессорные системы,Задания для подготовки,,,
Оператор присваивания и ветвления. Перебор вариантов. Построение дерева,Количество программ с обязательным этапом,Количество программ с избегаемым этапом,Количество программ с обязательным и избегаемым этапами,Поиск количества программ по заданному числу,
Обработка символьных строк,Задания для подготовки,,,,
Обработка целочисленной информации,Маска числа,Нахождение делителей,,,
Обработка целочисленной информации,Задания для подготовки,,,,
Программирование,Задания для подготовки,,,,